Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_float_TN,tn_6625_591_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.377724
GemmTunableOp_float_TN,tn_6625_402_120_ld_120_120_6625,Gemm_Rocblas_6378,0.300531
GemmTunableOp_float_TN,tn_6625_930_120_ld_120_120_6625,Gemm_Rocblas_6378,0.672448
GemmTunableOp_float_TN,tn_6625_396_120_ld_120_120_6625,Gemm_Rocblas_6378,0.290317
GemmTunableOp_float_TN,tn_6625_330_120_ld_120_120_6625,Gemm_Rocblas_6378,0.261804
GemmTunableOp_float_TN,tn_6625_408_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.311836
GemmAndBiasTunableOp_float_TN,tn_360_232_120_ld_120_120_360,Gemm_Hipblaslt_6376,0.0298477
GemmAndBiasTunableOp_float_TN,tn_120_1374_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.0477759
GemmAndBiasTunableOp_float_TN,tn_1024_292_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.178319
GemmAndBiasTunableOp_float_TN,tn_1024_291_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.147209
GemmAndBiasTunableOp_float_TN,tn_240_606_120_ld_120_120_240,Gemm_Hipblaslt_6376,0.0323733
GemmAndBiasTunableOp_float_TN,tn_1024_290_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.146551
GemmAndBiasTunableOp_float_TN,tn_1024_289_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.169668
GemmAndBiasTunableOp_float_TN,tn_1024_288_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.141866
GemmAndBiasTunableOp_float_TN,tn_120_276_120_ld_120_120_120,Gemm_Hipblaslt_6376,0.0131363
GemmAndBiasTunableOp_float_TN,tn_1024_285_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.213167
GemmAndBiasTunableOp_float_TN,tn_1024_282_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.150544
GemmAndBiasTunableOp_float_TN,tn_120_624_120_ld_120_120_120,Gemm_Hipblaslt_6377,0.0156222
GemmAndBiasTunableOp_float_TN,tn_120_780_120_ld_120_120_120,Gemm_Hipblaslt_6376,0.0251477
GemmAndBiasTunableOp_float_TN,tn_120_396_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.0170381
GemmAndBiasTunableOp_float_TN,tn_1024_74_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.042455
GemmAndBiasTunableOp_float_TN,tn_1024_48_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0301499
GemmAndBiasTunableOp_float_TN,tn_1024_100_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0575405
GemmAndBiasTunableOp_float_TN,tn_1024_195_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.105488
GemmAndBiasTunableOp_float_TN,tn_1024_53_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0366822
GemmAndBiasTunableOp_float_TN,tn_1024_44_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0304849
GemmAndBiasTunableOp_float_TN,tn_1024_126_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0640589
GemmAndBiasTunableOp_float_TN,tn_1024_43_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0304986
GemmAndBiasTunableOp_float_TN,tn_1024_200_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.107644
GemmAndBiasTunableOp_float_TN,tn_240_1050_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0324001
GemmAndBiasTunableOp_float_TN,tn_240_392_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0163932
GemmAndBiasTunableOp_float_TN,tn_1024_268_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.134164
GemmAndBiasTunableOp_float_TN,tn_360_264_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.0167595
GemmAndBiasTunableOp_float_TN,tn_1024_45_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0305126
GemmAndBiasTunableOp_float_TN,tn_1024_31_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.026913
GemmAndBiasTunableOp_float_TN,tn_1024_49_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0365427
GemmAndBiasTunableOp_float_TN,tn_360_591_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.0371414
GemmAndBiasTunableOp_float_TN,tn_1024_274_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.152795
GemmAndBiasTunableOp_float_TN,tn_1024_40_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0305615
GemmAndBiasTunableOp_float_TN,tn_360_318_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.0182259
GemmAndBiasTunableOp_float_TN,tn_240_528_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0193924
GemmAndBiasTunableOp_float_TN,tn_1024_28_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0269142
GemmAndBiasTunableOp_float_TN,tn_1024_25_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0267434
GemmAndBiasTunableOp_float_TN,tn_120_1374_120_ld_120_120_120,Gemm_Hipblaslt_6379,0.0330048
GemmAndBiasTunableOp_float_TN,tn_1024_273_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.146879
GemmAndBiasTunableOp_float_TN,tn_1024_39_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0303182
GemmAndBiasTunableOp_float_TN,tn_1024_24_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.026806
GemmAndBiasTunableOp_float_TN,tn_1024_21_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0265988
GemmAndBiasTunableOp_float_TN,tn_1024_17_512_ld_512_512_1024,Gemm_Hipblaslt_6376,0.0267283
GemmAndBiasTunableOp_float_TN,tn_360_354_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.0202344
GemmAndBiasTunableOp_float_TN,tn_1024_29_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0270108
GemmAndBiasTunableOp_float_TN,tn_1024_11_512_ld_512_512_1024,Gemm_Hipblaslt_6378,0.0241097
GemmAndBiasTunableOp_float_TN,tn_1024_7_512_ld_512_512_1024,Gemm_Hipblaslt_6378,0.0220855
GemmAndBiasTunableOp_float_TN,tn_1024_144_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0844808
GemmAndBiasTunableOp_float_TN,tn_1024_10_512_ld_512_512_1024,Gemm_Hipblaslt_6378,0.0239454
GemmAndBiasTunableOp_float_TN,tn_1024_283_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.157691
GemmAndBiasTunableOp_float_TN,tn_1024_9_512_ld_512_512_1024,Gemm_Hipblaslt_6376,0.0221641
GemmAndBiasTunableOp_float_TN,tn_1024_193_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.116032
GemmAndBiasTunableOp_float_TN,tn_1024_5_512_ld_512_512_1024,Gemm_Hipblaslt_6378,0.0219718
GemmAndBiasTunableOp_float_TN,tn_1024_3_512_ld_512_512_1024,Gemm_Hipblaslt_6378,0.0219397
GemmAndBiasTunableOp_float_TN,tn_1024_81_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0506777
GemmAndBiasTunableOp_float_TN,tn_240_894_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0321099
GemmAndBiasTunableOp_float_TN,tn_1536_784_512_ld_512_512_1536,Gemm_Hipblaslt_6377,0.51415
GemmAndBiasTunableOp_float_TN,tn_1024_784_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.317215
GemmAndBiasTunableOp_float_TN,tn_240_810_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0266926
GemmAndBiasTunableOp_float_TN,tn_1024_115_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0644415
GemmAndBiasTunableOp_float_TN,tn_120_810_120_ld_120_120_120,Gemm_Hipblaslt_6377,0.0174055
GemmAndBiasTunableOp_float_TN,tn_240_738_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0249168
GemmAndBiasTunableOp_float_TN,tn_1024_27_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0267844
GemmAndBiasTunableOp_float_TN,tn_240_672_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0230653
GemmAndBiasTunableOp_float_TN,tn_1024_50_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0370352
GemmAndBiasTunableOp_float_TN,tn_120_268_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.0147057
GemmAndBiasTunableOp_float_TN,tn_1024_52_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0369555
GemmAndBiasTunableOp_float_TN,tn_120_516_120_ld_120_120_120,Gemm_Hipblaslt_6377,0.0136084
GemmAndBiasTunableOp_float_TN,tn_1024_13_512_ld_512_512_1024,Gemm_Hipblaslt_6378,0.0241526
GemmAndBiasTunableOp_float_TN,tn_120_268_120_ld_120_120_120,Gemm_Hipblaslt_6377,0.0110484
GemmAndBiasTunableOp_float_TN,tn_512_1_1024_ld_1024_1024_512,Gemm_Hipblaslt_6378,0.0296409
GemmAndBiasTunableOp_float_TN,tn_120_672_120_ld_120_120_120,Gemm_Hipblaslt_6377,0.0153468
GemmAndBiasTunableOp_float_TN,tn_1024_227_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.125818
GemmAndBiasTunableOp_float_TN,tn_1024_95_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0510744
